location,bedrooms,bathrooms,price,site
Kilimani,3,3,130000,Property24
Riverside,3,3,300000,Property24
Kileleshwa,2,2,80000,Property24
Kileleshwa,3,2,80000,Property24
Langata,3,1,18000,Property24
Kileleshwa,4,4,85000,Property24
Westlands,3,4,150000,Property24
Kilimani,3,4,140000,Property24
Kilimani,2,2,50000,Property24
Lavington,1,1,125000,Property24
Westlands,4,4,450000,Property24
Westlands,3,3,250000,Property24
Ngong Rd,3,1,18000,Property24
Ngong Rd,1,1,45000,Property24
Kilimani,3,3,130000,Property24
Westlands,4,3,120000,Property24
Ngong Rd,1,1,25000,Property24
Lavington,2,2,55000,Property24
Kileleshwa,4,4,170000,Property24
Nyari,2,2,1800,Property24
Kileleshwa,4,4,130000,Property24
Langata,1,1,31000,Property24
Kitisuru,3,2,90000,Property24
Westlands,4,5,350000,Property24
Ngong Rd,1,1,20000,Property24
Lavington,3,3,120000,Property24
Westlands,3,3,135000,Property24
Kilimani,2,1,60000,Property24
Kileleshwa,1,1,53000,Property24
Ngong Rd,1,1,17000,Property24
Langata,3,2,48000,Property24
Kitisuru,3,2,90000,Property24
Kilimani,2,2,65000,Property24
Westlands,3,3,125000,Property24
Kilimani,3,3,180000,Property24
Lavington,3,4,110000,Property24
Kilimani,1,1,50000,Property24
Spring Valley,2,3,140000,Property24
Lavington,2,1,55000,Property24
Riverside,2,2,140000,Property24
Kilimani,1,1,55000,Property24
Ngong Rd,2,1,40000,Property24
Westlands,3,4,320000,Property24
Westlands,3,3,150000,Property24
South B,3,1,15000,Property24
Riverside,2,2,250000,Property24
Garden Estate,2,2,180000,Property24
Riverside,3,3,300000,Property24
Langata,2,2,41000,Property24
Riverside,2,2,200000,Property24
Langata,1,1,25000,Property24
Spring Valley,3,3,380000,Property24
Kilimani,3,3,130000,Property24
Ngong Rd,1,1,27000,Property24
Riverside,4,4,350000,Property24
Westlands,2,2,110000,Property24
Kilimani,2,2,75000,Property24
Langata,1,1,18500,Property24
Westlands,2,3,300000,Property24
Ngong Rd,2,2,30000,Property24
Kilimani,1,2,50000,Property24
Kilimani,2,2,240000,Property24
Kilimani,3,4,120000,Property24
Westlands,1,1,38000,Property24
Kilimani,1,1,5000,Property24
Spring Valley,5,5,340000,Property24
Kileleshwa,4,4,380000,Property24
Kileleshwa,1,1,48000,Property24
Kilimani,1,1,40000,Property24
Westlands,3,4,150000,Property24
Kileleshwa,3,3,150000,Property24
Kilimani,2,2,65000,Property24
Langata,1,1,32000,Property24
Westlands,3,3,150000,Property24
Kilimani,2,2,160000,Property24
Lavington,4,4,140000,Property24
Valley Arcade,3,4,100000,Property24
Kileleshwa,1,1,50000,Property24
Riverside,4,3,300000,Property24
Langata,1,1,24000,Property24
Nairobi West,3,2,75000,Property24
Kilimani,1,1,125000,Property24
Kilimani,2,3,90000,Property24
Lavington,3,3,100000,Property24
South B,1,1,23000,Property24
Spring Valley,5,5,340000,Property24
Riverside,3,3,130000,Property24
Lavington,2,2,80000,Property24
Lavington,3,3,110000,Property24
Westlands,2,2,110000,Property24
Riverside,3,3,350000,Property24
Lavington,2,2,50000,Property24
Kilimani,1,1,100000,Property24
Kilimani,2,2,65000,Property24
Parklands,2,3,160000,Property24
Langata,1,1,25000,Property24
Kileleshwa,2,2,75000,Property24
South C,4,3,14600000,Property24
Kitisuru,3,2,90000,Property24
Ngong Rd,1,1,16500,Property24
Westlands,2,2,90000,Property24
Kitisuru,3,2,90000,Property24
Westlands,3,3,115000,Property24
Kilimani,1,1,60000,Property24
Kileleshwa,1,1,40000,Property24
Spring Valley,3,3,150000,Property24
Kilimani,1,1,100000,Property24
Ngong Rd,1,1,20000,Property24
South B,2,1,25000,Property24
Parklands,3,3,130000,Property24
Spring Valley,4,5,550000,Property24
Ngong Rd,1,1,13000,Property24
Kileleshwa,2,1,60000,Property24
Rosslyn,2,2,220000,Property24
Kilimani,1,1,7000,Property24
Ngong Rd,1,1,28000,Property24
Mbagathi Way,2,2,35000,Property24
Kitisuru,3,2,90000,Property24
Langata,2,2,30000,Property24
Kitisuru,2,2,75000,Property24
Kileleshwa,2,1,60000,Property24
Kitisuru,2,2,75000,Property24
Kilimani,2,2,75000,Property24
Riverside,3,3,190000,Property24
Kilimani,2,2,300000,Property24
Westlands,2,2,140000,Property24
Ngong Rd,1,1,30000,Property24
Parklands,3,3,130000,Property24
Kileleshwa,2,2,55000,Property24
Kileleshwa,4,4,350000,Property24
Kilimani,2,2,90000,Property24
Ngong Rd,2,1,18000,Property24
Lavington,3,3,75000,Property24
Kileleshwa,2,3,75000,Property24
Westlands,2,2,270000,Property24
Kileleshwa,1,1,53000,Property24
Kileleshwa,2,2,66000,Property24
Riverside,3,3,300000,Property24
Westlands,2,3,90000,Property24
Westlands,2,3,120000,Property24
Langata,1,1,31000,Property24
Westlands,3,3,150000,Property24
Ngong Rd,2,1,45000,Property24
South B,1,1,24000,Property24
Westlands,4,2,552500,Property24
Westlands,2,2,250000,Property24
Ngong Rd,2,2,55000,Property24
Kileleshwa,1,2,16500000,Property24
Parklands,3,3,130000,Property24
Kilimani,2,2,120000,Property24
Ngong Rd,2,1,15000,Property24
Kileleshwa,2,2,65000,Property24
Runda,2,2,180000,Property24
Parklands,3,3,130000,Property24
Langata,3,2,45000,Property24
Kilimani,2,2,65000,Property24
Kitisuru,2,2,75000,Property24
Kilimani,2,2,65000,Property24
Langata,1,1,17000,Property24
Parklands,3,4,280000,Property24
Westlands,3,2,120000,Property24
Langata,1,1,25000,Property24
Ngong Rd,1,1,20000,Property24
Kileleshwa,3,3,170000,Property24
Lavington,3,3,130000,Property24
Ngong Rd,1,1,20000,Property24
Lavington,3,3,90000,Property24
Spring Valley,4,5,550000,Property24
Kilimani,3,3,175000,Property24
Ngong Rd,1,1,25000,Property24
Kileleshwa,3,3,85000,Property24
Westlands,3,2,200000,Property24
Ngong Rd,2,1,26500,Property24
Kilimani,2,2,65000,Property24
Westlands,3,4,120000,Property24
Westlands,3,3,125000,Property24
Ongata Rongai,2,2,25000,Property24
Ngong Rd,2,1,40000,Property24
Kileleshwa,2,2,55000,Property24
Lavington,2,2,100000,Property24
Westlands,1,1,15600000,Property24
Langata,1,1,18500,Property24
Lavington,2,2,65000,Property24
Westlands,4,4,240000,Property24
Westlands,4,4,140000,Property24
Lavington,3,1,75000,Property24
Ngong Rd,2,2,55000,Property24
Westlands,3,4,250000,Property24
Westlands,2,2,95000,Property24
Kilimani,5,5,45000000,Property24
South B,1,1,18000,Property24
Riverside,3,3,105000,Property24
Upper Hill,1,1,150000,Property24
Kileleshwa,2,3,95000,Property24
Lavington,4,4,150000,Property24
Kileleshwa,4,3,270000,Property24
Ruaka,2,1,30000,Property24
Langata,1,1,35000,Property24
Lavington,4,4,180000,Property24
Ngong Rd,1,1,22000,Property24
Kileleshwa,2,2,100000,Property24
Kilimani,1,1,160000,Property24
Westlands,3,2,90000,Property24
Westlands,2,2,200000,Property24
Kitisuru,3,2,90000,Property24
Riverside,4,4,350000,Property24
Kileleshwa,2,2,55000,Property24
Kilimani,1,2,110000,Property24
Kilimani,2,3,120000,Property24
Kileleshwa,5,5,350000,Property24
Kilimani,3,3,130000,Property24
Ngong Rd,1,1,27000,Property24
Westlands,1,1,110000,Property24
Kilimani,2,2,55000,Property24
Lavington,2,2,200000,Property24
Lavington,2,2,70000,Property24
Kileleshwa,1,1,65000,Property24
Kilimani,3,2,110000,Property24
Riverside,2,2,140000,Property24
Muthaiga,3,3,190000,Property24
Lavington,2,3,75000,Property24
Parklands,2,2,170000,Property24
Kileleshwa,1,2,100000,Property24
Langata,1,1,22000,Property24
Langata,2,2,30000,Property24
Kilimani,2,2,300000,Property24
Kileleshwa,2,2,65000,Property24
Langata,3,2,55000,Property24
South B,1,1,28000,Property24
Kilimani,2,2,70000,Property24
South B,3,2,56000,Property24
Lavington,3,3,75000,Property24
Nairobi CBD,2,3,65000,Property24
Langata,1,1,25000,Property24
Kileleshwa,1,1,55000,Property24
Langata,2,1,30000,Property24
Westlands,3,4,135000,Property24
Westlands,3,3,100000,Property24
Kilimani,2,2,65000,Property24
Kilimani,3,3,70000,Property24
Riverside,4,5,350000,Property24
Westlands,3,3,150000,Property24
Kilimani,3,2,90000,Property24
South B,1,1,20000,Property24
Kileleshwa,2,2,75000,Property24
Riverside,3,3,310000,Property24
Langata,1,1,28000,Property24
Kileleshwa,2,2,80000,Property24
Westlands,3,3,135000,Property24
Kitisuru,2,2,230000,Property24
Langata,2,1,18000,Property24
Westlands,3,3,100000,Property24
Kileleshwa,3,3,180000,Property24
Westlands,1,1,80000,Property24
Westlands,3,1,120000,Property24
Kilimani,1,1,50000,Property24
Kileleshwa,3,2,80000,Property24
Westlands,3,4,270000,Property24
Lavington,3,3,100000,Property24
Langata,1,1,27500,Property24
Kileleshwa,3,4,90000,Property24
Westlands,5,5,350000,Property24
Ngong Rd,2,2,55000,Property24
Westlands,3,4,140000,Property24
Kilimani,1,1,150000,Property24
Ngong Rd,2,2,35000,Property24
Kilimani,2,2,15000,Property24
Kilimani,3,2,60000,Property24
Parklands,2,2,160000,Property24
Kilimani,3,3,100000,Property24
Ngong Rd,2,2,35000,Property24
Kilimani,3,3,150000,Property24
Kilimani,3,3,90000,Property24
Kitisuru,2,2,1800,Property24
Lavington,3,4,120000,Property24
Ruaka,2,2,35000,Property24
Lavington,5,6,170000,Property24
Westlands,3,3,135000,Property24
Lavington,4,5,250000,Property24
Loresho,3,3,80000,Property24
Kilimani,1,1,15000,Property24
Kilimani,1,1,90000,Property24
Parklands,3,3,280000,Property24
Langata,2,1,18000,Property24
Westlands,2,3,250000,Property24
Loresho,2,2,55000,Property24
Lavington,2,3,150000,Property24
Kitisuru,3,2,80000,Property24
Lavington,5,5,200000,Property24
Westlands,2,2,200000,Property24
Ruaka,1,1,43000,Property24
Rosslyn,1,2,120000,Property24
Kilimani,3,3,220000,Property24
Kilimani,2,3,150000,Property24
Kileleshwa,3,2,85000,Property24
South B,1,1,23500,Property24
Ngong Rd,1,1,28000,Property24
Westlands,3,3,100000,Property24
Westlands,3,4,270000,Property24
Kilimani,1,1,52000,Property24
Lavington,2,2,70000,Property24
Parklands,3,3,130000,Property24
South B,1,1,24000,Property24
Ngong Rd,2,2,50000,Property24
Westlands,5,5,350000,Property24
Hurlingham,2,2,180000,Property24
Spring Valley,3,3,150000,Property24
South B,1,1,32000,Property24
Kitisuru,2,3,1800,Property24
Riverside,3,3,150000,Property24
Muthaiga,3,3,360000,Property24
Kilimani,2,3,80000,Property24
Westlands,2,2,10000,Property24
Lavington,3,3,75000,Property24
Hurlingham,2,2,105000,Property24
Uthiru,3,2,65000,Property24
Kileleshwa,3,3,120000,Property24
Kilimani,4,2,150000,Property24
Lavington,3,2,90000,Property24
Kileleshwa,3,4,180000,Property24
Kilimani,3,3,90000,Property24
Kileleshwa,4,3,100000,Property24
Kilimani,2,1,50000,Property24
Westlands,3,4,150000,Property24
Kileleshwa,1,1,46000,Property24
Kilimani,2,2,200000,Property24
Westlands,4,3,150000,Property24
Lavington,2,2,85000,Property24
Kilimani,1,1,30000,Property24
Westlands,2,2,250000,Property24
Lavington,4,4,80000,Property24
Kilimani,2,2,65000,Property24
Kitisuru,3,2,90000,Property24
Kilimani,2,2,185000,Property24
Langata,2,2,30000,Property24
Kilimani,3,3,90000,Property24
Kilimani,2,2,80000,Property24
Kilimani,1,2,35000,Property24
Langata,3,2,55000,Property24
Riverside,4,4,400000,Property24
Lavington,2,2,60000,Property24
Riverside,3,3,300000,Property24
Lavington,1,1,45000,Property24
Westlands,5,5,360000,Property24
Lavington,2,2,55000,Property24
Spring Valley,3,3,150000,Property24
Westlands,3,3,160000,Property24
Nairobi CBD,1,1,140000,Property24
Ngong Rd,2,2,45000,Property24
Lavington,3,3,75000,Property24
Kitisuru,3,2,90000,Property24
Kileleshwa,3,3,85000,Property24
Kilimani,1,3,60000,Property24
Kilimani,2,2,150000,Property24
Westlands,3,3,400000,Property24
Kileleshwa,1,2,70000,Property24
Lavington,3,3,100000,Property24
Ruaka,3,3,35000,Property24
Kileleshwa,3,4,150000,Property24
Langata,1,1,28000,Property24
Ngong Rd,1,1,25000,Property24
Lavington,3,3,90000,Property24
Karen,2,2,45000,Property24
Kilimani,2,2,65000,Property24
Westlands,3,3,180000,Property24
Westlands,3,4,220000,Property24
Ruaka,2,2,45000,Property24
Kilimani,3,3,90000,Property24
Westlands,3,3,150000,Property24
Ruaka,2,2,40000,Property24
Kilimani,2,2,60000,Property24
Langata,1,1,18000,Property24
Kileleshwa,2,2,120000,Property24
Langata,3,2,45000,Property24
Parklands,3,4,280000,Property24
Westlands,3,3,215000,Property24
Kilimani,2,1,130000,Property24
Kileleshwa,3,4,160000,Property24
Kileleshwa,2,2,75000,Property24
Westlands,2,2,200000,Property24
Ngong Rd,2,2,45000,Property24
Gigiri,2,3,2500,Property24
Riverside,3,3,300000,Property24
Lavington,3,3,85000,Property24
Westlands,3,4,220000,Property24
Kileleshwa,1,1,58000,Property24
Spring Valley,2,3,140000,Property24
Kileleshwa,2,2,56000,Property24
Kilimani,1,1,5500,Property24
Kilimani,1,1,38000,Property24
Spring Valley,5,5,340000,Property24
Kilimani,2,2,65000,Property24
Kileleshwa,3,3,100000,Property24
Langata,1,1,32000,Property24
Westlands,2,2,230000,Property24
South C,2,2,32000,Property24
Westlands,3,3,120000,Property24
Kileleshwa,1,1,50000,Property24
Kileleshwa,3,3,250000,Property24
Lavington,2,2,85000,Property24
Kileleshwa,3,2,60000,Property24
Kilimani,3,3,90000,Property24
Ngong Rd,1,1,25000,Property24
Hurlingham,3,3,120000,Property24
Kilimani,2,2,110000,Property24
Kilimani,2,2,110000,Property24
Lavington,2,2,75000,Property24
Parklands,5,6,180000,Property24
South C,2,2,35000,Property24
Spring Valley,4,5,360000,Property24
Ngong Rd,2,2,50000,Property24
Langata,3,2,47000,Property24
Rosslyn,2,2,220000,Property24
Kileleshwa,2,2,110000,Property24
Ngong Rd,1,1,40000,Property24
Ngong Rd,2,2,42000,Property24
Kileleshwa,2,2,65000,Property24
Nairobi CBD,3,2,100000,Property24
Westlands,2,2,90000,Property24
South B,1,1,28000,Property24
Lavington,3,3,110000,Property24
Westlands,2,2,290000,Property24
Kileleshwa,2,2,120000,Property24
Kilimani,3,3,90000,Property24
Kilimani,2,2,150000,Property24
Westlands,4,4,480000,Property24
Kilimani,3,3,85000,Property24
Kilimani,3,2,115000,Property24
Kilimani,3,3,75000,Property24
Riverside,3,3,200000,Property24
Lavington,3,3,100000,Property24
Lavington,2,2,55000,Property24
Kilimani,2,2,160000,Property24
Kileleshwa,3,3,130000,Property24
Lavington,3,4,100000,Property24
Kileleshwa,1,1,55000,Property24
South B,1,1,20000,Property24
Spring Valley,4,4,350000,Property24
Westlands,1,1,70000,Property24
Westlands,3,4,180000,Property24
Lavington,3,3,100000,Property24
Westlands,4,4,250000,Property24
Langata,1,1,35000,Property24
Kilimani,3,2,75000,Property24
Rosslyn,2,3,250000,Property24
Riverside,3,3,350000,Property24
Ngong Rd,2,2,30000,Property24
Lavington,2,2,65000,Property24
Kilimani,3,2,75000,Property24
Westlands,2,2,240000,Property24
Kilimani,4,4,80000,Property24
Kilimani,1,1,40000,Property24
Parklands,3,3,200000,Property24
Westlands,3,3,265000,Property24
Kilimani,1,1,50000,Property24
Kilimani,3,3,200000,Property24
Lavington,4,5,250000,Property24
Langata,2,1,35000,Property24
Kileleshwa,1,1,50000,Property24
Kileleshwa,2,2,65000,Property24
Kitisuru,2,2,40000,Property24
Kileleshwa,2,2,80000,Property24
Westlands,1,1,55000,Property24
Ruaraka,2,2,200000,Property24
Lavington,4,5,220000,Property24
Westlands,2,2,170000,Property24
Kilimani,3,2,110000,Property24
Westlands,2,3,65000,Property24
Lavington,4,4,240000,Property24
Lavington,3,2,85000,Property24
Lavington,1,1,190000,Property24
Langata,1,1,18000,Property24
Lavington,3,2,130000,Property24
Kilimani,3,2,75000,Property24
Westlands,2,2,250000,Property24
Parklands,3,2,130000,Property24
Imara Daima,3,2,45000,Property24
Lavington,3,3,96000,Property24
Ngong Rd,1,1,25000,Property24
Kileleshwa,2,2,45000,Property24
Westlands,3,3,130000,Property24
Kileleshwa,2,3,85000,Property24
Kileleshwa,3,2,100000,Property24
Kileleshwa,3,3,170000,Property24
Ngong Rd,2,2,55000,Property24
Ngong Rd,2,2,70000,Property24
Peponi,4,5,610000,Property24
Spring Valley,3,2,280000,Property24
Kilimani,2,2,55000,Property24
Westlands,3,3,130000,Property24
Kilimani,3,3,110000,Property24
Langata,1,1,24500,Property24
Lavington,3,1,75000,Property24
Westlands,4,5,160000,Property24
Kilimani,3,3,160000,Property24
Westlands,3,3,140000,Property24
Kilimani,2,2,65000,Property24
Kilimani,2,2,90000,Property24
Lavington,1,1,100000,Property24
Kileleshwa,2,2,60000,Property24
South B,1,1,20000,Property24
Kilimani,2,2,65000,Property24
Kilimani,3,3,130000,Property24
Kilimani,2,2,80000,Property24
Lavington,3,1,110000,Property24
Lavington,3,2,100000,Property24
Langata,3,2,45000,Property24
Lavington,3,3,65000,Property24
Parklands,3,3,160000,Property24
Rosslyn,2,2,170000,Property24
Langata,1,1,28000,Property24
Kileleshwa,4,3,107000,Property24
Kilimani,2,2,100000,Property24
Hillview,6,6,680000,Property24
Lavington,3,2,80000,Property24
Kileleshwa,3,3,90000,Property24
Valley Arcade,3,3,75000,Property24
Kilimani,2,3,80000,Property24
Westlands,4,4,150000,Property24
Ngong Rd,2,2,85000,Property24
Kileleshwa,3,4,160000,Property24
Kileleshwa,3,3,150000,Property24
Kileleshwa,2,3,80000,Property24
Kileleshwa,3,3,140000,Property24
Westlands,4,4,160000,Property24
Lavington,3,3,110000,Property24
Ngong Rd,1,1,25000,Property24
Kilimani,4,4,250000,Property24
Ngong Rd,2,2,28000,Property24
Kilimani,2,2,75000,Property24
Kilimani,4,3,130000,Property24
Westlands,3,2,125000,Property24
Kilimani,3,3,170000,Property24
Westlands,3,3,130000,Property24
Ruaka,1,1,17000,Property24
Westlands,2,2,280000,Property24
Lavington,3,3,115000,Property24
Imara Daima,3,2,38000,Property24
Nairobi West,1,1,29000,Property24
Westlands,3,2,125000,Property24
Utawala,2,2,30000,Property24
Lavington,3,3,100000,Property24
Langata,1,1,25000,Property24
Kilimani,2,2,120000,Property24
Kileleshwa,4,4,240000,Property24
Ngong Rd,2,2,42000,Property24
Langata,1,1,17000,Property24
Rosslyn,1,1,160000,Property24
Kileleshwa,3,3,130000,Property24
Kileleshwa,4,2,95000,Property24
Langata,1,1,30000,Property24
Kileleshwa,3,3,170000,Property24
Westlands,4,4,160000,Property24
Langata,1,1,35000,Property24
Kileleshwa,3,2,65000,Property24
Kilimani,3,2,85000,Property24
Lenana,1,1,50000,Property24
Kilimani,1,1,150000,Property24
South B,2,2,37000,Property24
Westlands,3,3,260000,Property24
Kilimani,3,3,130000,Property24
Riverside,3,3,200000,Property24
Kilimani,1,1,45000,Property24
Westlands,3,4,130000,Property24
Kilimani,3,2,85000,Property24
Westlands,3,4,130000,Property24
Ngong Rd,2,1,35000,Property24
Westlands,4,4,250000,Property24
Westlands,3,3,120000,Property24
Kilimani,2,2,170000,Property24
Lavington,2,2,75000,Property24
Kileleshwa,2,2,100000,Property24
Spring Valley,3,4,380000,Property24
Kilimani,3,3,65000,Property24
Kilimani,1,2,110000,Property24
Kilimani,2,2,7000,Property24
Westlands,3,3,200000,Property24
Kileleshwa,3,4,130000,Property24
Lavington,2,2,85000,Property24
Syokimau,2,3,35000,Property24
Lavington,3,3,110000,Property24
Riverside,3,3,250000,Property24
Kilimani,2,1,150000,Property24
Kitisuru,2,2,1700,Property24
Westlands,4,4,125000,Property24
Kileleshwa,4,3,85000,Property24
Lavington,3,3,100000,Property24
Karen,2,2,55000,Property24
Ngong Rd,1,1,25000,Property24
Parklands,2,3,250000,Property24
Lavington,3,2,80000,Property24
Kilimani,2,2,120000,Property24
Kilimani,1,1,75000,Property24
Lavington,3,3,100000,Property24
Riverside,3,3,300000,Property24
Riverside,4,4,350000,Property24
Kileleshwa,3,3,100000,Property24
Kileleshwa,2,2,75000,Property24
Westlands,2,2,250000,Property24
Lavington,3,2,130000,Property24
Kilimani,3,2,75000,Property24
Karen,2,2,58000,Property24
Parklands,2,3,160000,Property24
Embakasi,3,2,35000,Property24
Kileleshwa,2,2,120000,Property24
Lavington,3,3,300000,Property24
Kileleshwa,3,3,80000,Property24
Lavington,2,2,75000,Property24
Lavington,3,3,100000,Property24
Kilimani,3,3,130000,Property24
Kilimani,2,1,55000,Property24
Langata,2,1,35000,Property24
Ngong Rd,2,2,45000,Property24
Kileleshwa,2,2,85000,Property24
Westlands,2,2,150000,Property24
Kileleshwa,3,3,110000,Property24
Kilimani,2,2,85000,Property24
Lavington,3,2,80000,Property24
Mbagathi Way,2,2,20000,Property24
Riverside,3,3,100000,Property24
Kileleshwa,3,3,130000,Property24
Langata,3,2,50000,Property24
Kilimani,3,2,75000,Property24
Lavington,2,2,65000,Property24
Kilimani,2,2,95000,Property24
Parklands,2,3,160000,Property24
Westlands,4,5,170000,Property24
Runda,4,1,200000,Property24
Kilimani,3,3,200000,Property24
Kitisuru,2,2,75000,Property24
Langata,1,1,23000,Property24
Kilimani,1,2,130000,Property24
Ongata Rongai,2,2,25000,Property24
Westlands,3,3,140000,Property24
Kilimani,2,2,75000,Property24
Kilimani,3,2,130000,Property24
Westlands,3,3,135000,Property24
Westlands,4,3,90000,Property24
Mbagathi Way,1,1,30000,Property24
South B,2,2,45000,Property24
Kileleshwa,3,4,160000,Property24
Kileleshwa,4,3,200000,Property24
Langata,2,2,38000,Property24
Parklands,2,2,200000,Property24
Kileleshwa,3,2,70000,Property24
Westlands,2,2,97000,Property24
Muthaiga North,1,1,40000,Property24
Lavington,2,3,10,Property24
Lavington,3,3,120000,Property24
Riverside,3,3,300000,Property24
Langata,2,1,30000,Property24
Kitisuru,3,2,90000,Property24
Parklands,4,4,200000,Property24
Ngong Rd,2,1,35000,Property24
Ngong Rd,2,1,32000,Property24
Westlands,3,4,165000,Property24
Westlands,3,3,165000,Property24
Langata,2,1,35000,Property24
Ngong Rd,2,2,30000,Property24
Peponi,4,4,610000,Property24
Kilimani,1,1,105000,Property24
Spring Valley,3,4,380000,Property24
Nairobi West,2,1,32000,Property24
Kileleshwa,2,1,65000,Property24
Rosslyn,2,2,170000,Property24
Parklands,3,2,125000,Property24
Kileleshwa,3,2,86000,Property24
