bathrooms,bedrooms,external_features,internal_features,location,nearby,price,title
3,3,"Balcony,Gym,Lift/Elevator,Parking,CCTV,Swimming Pool","Alarm,Backup Generator,En Suite,Fibre Internet",Kileleshwa,"Bus Stop,Shopping Centre,Hospital,School",150000,3 Bed Apartment with En Suite in Kileleshwa
3,3,"CCTV,Electric Fence,Borehole,BBQ,Lift/Elevator,Balcony,Kids Play Area,Parking,Staff Quarters","Backup Generator,En Suite,Fibre Internet,Walk In Closet,Service Charge Included","General mathenge, 01, General Mathenge, Westlands","Golf Course,Bus Stop,Shopping Centre,Hospital,Scenic View,School",150000,3 Bed Apartment with En Suite at General Mathenge
4,5,"CCTV,Electric Fence,Borehole,BBQ,Lift/Elevator,Balcony,Parking,Kids Play Area,Gated Community,Staff Quarters","En Suite,Fibre Internet,Backup Generator,Service Charge Included,Walk In Closet","General mathenge, 01, General Mathenge, Westlands","Hospital,Golf Course,Bus Stop,Shopping Centre,Scenic View,School",300000,5 Bed Apartment with En Suite at General Mathenge
2,2,"Garden,Wheelchair Access,Swimming Pool,Borehole,Electric Fence,CCTV,Parking,Lift/Elevator,Gym,Balcony","Alarm,Service Charge Included,Walk In Closet,Backup Generator,En Suite,Fibre Internet,Furnished",Kilimani,"Bus Stop,Shopping Centre,Golf Course,Hospital,Scenic View,School",200000,Furnished 2 Bed Apartment with En Suite in Kilimani
2,2,"Garden,Wheelchair Access,Borehole,Electric Fence,Pet Friendly,Parking,CCTV,Kids Play Area,Balcony","Aircon,Service Charge Included,Walk In Closet,En Suite,Fibre Internet,Furnished","Karen, 0425n","Bus Stop,Shopping Centre,Hospital,Scenic View,School",150000,Furnished 2 Bed Apartment with En Suite at Karen
3,2,"Balcony,BBQ,CCTV,Electric Fence,Borehole,Garden,Gym,Lift/Elevator,Parking,Staff Quarters,Swimming Pool,Wheelchair Access,Gated Community,Kids Play Area,Pet Friendly","Backup Generator,En Suite,Fibre Internet,Furnished,Service Charge Included","MPAKA ROAD, Westlands Area, Westlands","Bus Stop,Hospital,Scenic View,Golf Course,School,Shopping Centre",180000,Furnished 2 Bed Apartment with En Suite at Mpaka Road
4,5,"BBQ,CCTV,Electric Fence,Borehole,Parking,Lift/Elevator,Balcony,Gated Community,Staff Quarters","Backup Generator,En Suite,Fibre Internet,Walk In Closet,Service Charge Included","General Mathenge, 01, Spring Valley, Westlands","Golf Course,Bus Stop,Shopping Centre,Hospital,School,Scenic View",300000,5 Bed Apartment with En Suite at General Mathenge
4,5,"BBQ,CCTV,Electric Fence,Borehole,Balcony,Lift/Elevator,Parking,Staff Quarters,Kids Play Area,Gated Community,Swimming Pool,Pet Friendly","Aircon,Alarm,Backup Generator,En Suite,Fibre Internet,Walk In Closet","General mathenge, 01, Westlands Area, Westlands","Bus Stop,Golf Course,Hospital,Scenic View,School,Shopping Centre",320000,5 Bed Apartment with En Suite at General Mathenge
6,5,"CCTV,Borehole,Electric Fence,Gym,Lift/Elevator,Parking,Staff Quarters,Swimming Pool,Garden,Kids Play Area,Balcony","Backup Generator,En Suite,Service Charge Included,Walk In Closet",Kileleshwa,"Hospital,School,Shopping Centre",290000,5 Bed Apartment with En Suite in Kileleshwa
2,2,"Balcony,BBQ,CCTV,Electric Fence,Borehole,Parking,Kids Play Area,Pet Friendly","En Suite,Fibre Internet,Walk In Closet",Ongata Rongai,"Bus Stop,Hospital,Scenic View,School,Shopping Centre",40000,2 Bed Apartment with En Suite in Ongata Rongai
4,3,"BBQ,Balcony,CCTV,Electric Fence,Borehole,Gym,Staff Quarters,Swimming Pool,Kids Play Area,Parking,Lift/Elevator","Backup Generator,En Suite,Service Charge Included,Walk In Closet","Parklands, Westlands","Scenic View,Shopping Centre,School,Hospital",300000,3 Bed Apartment with En Suite in Parklands
2,2,"Balcony,Gym,Gated Community,Kids Play Area,Lift/Elevator,BBQ,CCTV,Parking,Pet Friendly,Electric Fence,Borehole,Swimming Pool,Wheelchair Access,Garden","Aircon,Alarm,Backup Generator,En Suite,Fibre Internet,Walk In Closet","Westlands, Westlands Area","School,Scenic View,Hospital,Golf Course,Bus Stop,Shopping Centre",160000,2 Bed Apartment with En Suite at Westlands
4,4,"Parking,Balcony",En Suite,"Parklands, Westlands",,130000,4 Bed Apartment with En Suite in Parklands
2,2,"Parking,Lift/Elevator,Gym,Balcony,CCTV,Electric Fence,Borehole,Swimming Pool,Wheelchair Access","Service Charge Included,Walk In Closet,Backup Generator,En Suite,Furnished,Fibre Internet","6th avenue Parklands, Parklands, Westlands","Shopping Centre,Scenic View,Hospital,School,Bus Stop",150000,Furnished 2 Bed Apartment with En Suite at 6Th Avenue Parklands
4,4,"Gym,Balcony,Lift/Elevator,Parking,CCTV,Swimming Pool","Alarm,Backup Generator,En Suite,Fibre Internet,Furnished",Kileleshwa,"Bus Stop,Shopping Centre,Hospital,School",380000,Furnished 4 Bed Apartment with En Suite in Kileleshwa
1,2,,,Juja,,19000,2 Bed Apartment in Juja
2,2,"Balcony,CCTV,Electric Fence,Borehole,Garden,Gym,Lift/Elevator,Parking,Staff Quarters,Swimming Pool,Wheelchair Access,Kids Play Area","Backup Generator,En Suite,Fibre Internet,Alarm,Service Charge Included,Walk In Closet","Othaya rd, Kileleshwa","Bus Stop,Golf Course,Hospital,School,Scenic View,Shopping Centre",100000,2 Bed Apartment with En Suite at Othaya Rd
1,1,"Balcony,BBQ,Kids Play Area,CCTV,Parking,Garden,Wheelchair Access,Swimming Pool,Electric Fence","Aircon,Alarm,Service Charge Included,Walk In Closet,En Suite,Fibre Internet","MILIMANI STATE HOUSE, 0422N, State House","Bus Stop,Hospital,Scenic View,School,Shopping Centre",41000,1 Bed Apartment with En Suite at Milimani State House
2,2,"Balcony,Gym,Kids Play Area,Lift/Elevator,CCTV,Parking,Electric Fence,Swimming Pool,Borehole,Wheelchair Access","Alarm,Service Charge Included,Walk In Closet,Backup Generator,En Suite,Fibre Internet",Kileleshwa,"Shopping Centre,Bus Stop,Hospital,Scenic View,School",120000,2 Bed Apartment with En Suite in Kileleshwa
3,3,"Balcony,Gym,Lift/Elevator,Parking,CCTV,Swimming Pool","Alarm,Backup Generator,En Suite,Fibre Internet,Furnished","Rosslyn, Westlands","Bus Stop,Shopping Centre,Hospital,School",420000,Furnished 3 Bed Apartment with En Suite in Rosslyn
2,2,"Balcony,Gym,Gated Community,Kids Play Area,Lift/Elevator,BBQ,CCTV,Parking,Pet Friendly,Staff Quarters,Electric Fence,Borehole,Swimming Pool,Garden,Wheelchair Access","Aircon,Serviced,Service Charge Included,Alarm,Backup Generator,Walk In Closet,En Suite,Fibre Internet,Furnished","kikambala road, Kileleshwa","Bus Stop,Shopping Centre,Golf Course,Hospital,Scenic View,School",260000,Serviced 2 Bed Apartment with En Suite at Kikambala Road
3,3,"Balcony,Gym,Lift/Elevator,Parking,CCTV,Swimming Pool","Alarm,Backup Generator,En Suite,Fibre Internet","Rosslyn, Westlands","Bus Stop,Shopping Centre,Hospital,School",250000,3 Bed Apartment with En Suite in Rosslyn
3,3,"Balcony,Gym,Gated Community,Kids Play Area,Lift/Elevator,BBQ,CCTV,Parking,Pet Friendly,Staff Quarters,Borehole,Electric Fence,Swimming Pool,Wheelchair Access,Garden","Aircon,Alarm,Service Charge Included,Walk In Closet,Backup Generator,En Suite,Fibre Internet","Dennis pritt road, Kilimani","Bus Stop,Shopping Centre,Golf Course,Hospital,Scenic View,School",175000,3 Bed Apartment with En Suite at Dennis Pritt Road
3,3,"Balcony,Gym,Kids Play Area,Lift/Elevator,CCTV,Parking,Staff Quarters,Electric Fence,Borehole,Swimming Pool,Garden,Wheelchair Access","Alarm,Service Charge Included,Walk In Closet,Backup Generator,En Suite,Fibre Internet","Riverside, Westlands","Bus Stop,Shopping Centre,Hospital,Scenic View,School",170000,3 Bed Apartment with En Suite in Riverside
3,3,"Balcony,Lift/Elevator,Parking,Staff Quarters,Electric Fence,Borehole,Wheelchair Access,Swimming Pool,CCTV","Backup Generator,Walk In Closet,Service Charge Included,En Suite,Fibre Internet","Parklands area, Parklands, Westlands","Scenic View,Shopping Centre",130000,3 Bed Apartment with En Suite at Parklands Area
3,3,"BBQ,CCTV,Electric Fence,Garden,Parking,Pet Friendly","Backup Generator,En Suite,Fibre Internet,Walk In Closet,Service Charge Included","Spring Valley, Westlands","Bus Stop,Golf Course,Hospital,Scenic View,School,Shopping Centre",200000,3 Bed Apartment with En Suite in Spring Valley
3,3,"Garden,Wheelchair Access,Swimming Pool,Borehole,Electric Fence,Parking,CCTV,BBQ,Pet Friendly,Kids Play Area,Gym,Balcony","Aircon,Alarm,Service Charge Included,Walk In Closet,En Suite,Fibre Internet,Furnished","KILIMANI, 0422N, Kilimani","Bus Stop,Hospital,Scenic View,School,Shopping Centre",130000,Furnished 3 Bed Apartment with En Suite at Kilimani
4,4,"Balcony,BBQ,CCTV,Electric Fence,Borehole,Garden,Wheelchair Access,Swimming Pool,Staff Quarters,Parking,Lift/Elevator,Gym,Kids Play Area","Backup Generator,En Suite,Fibre Internet,Walk In Closet,Service Charge Included",Lavington,"Bus Stop,Golf Course,Hospital,Scenic View,School,Shopping Centre",258000,4 Bed Apartment with En Suite in Lavington
3,3,"Balcony,BBQ,CCTV,Electric Fence,Borehole,Wheelchair Access,Swimming Pool,Staff Quarters,Parking,Lift/Elevator,Gym,Kids Play Area","Backup Generator,En Suite,Fibre Internet,Furnished,Walk In Closet,Service Charge Included",Kilimani,"Bus Stop,Golf Course,Hospital,Scenic View,School,Shopping Centre",180000,Furnished 3 Bed Apartment with En Suite in Kilimani
3,3,"Balcony,BBQ,CCTV,Electric Fence,Borehole,Garden,Wheelchair Access,Swimming Pool,Staff Quarters,Parking,Lift/Elevator,Gym,Kids Play Area,Pet Friendly","Alarm,Backup Generator,En Suite,Fibre Internet,Furnished,Walk In Closet,Service Charge Included","Riverside, Kes 17,000 Per Day Air BnB, Westlands","Bus Stop,Shopping Centre,Golf Course,Hospital,Scenic View,School",350000,Furnished 3 Bed Apartment with En Suite at Riverside
1,1,"Balcony,BBQ,CCTV,Electric Fence,Borehole,Garden,Wheelchair Access,Swimming Pool,Staff Quarters,Parking,Lift/Elevator,Gym,Pet Friendly,Kids Play Area","Alarm,Backup Generator,En Suite,Fibre Internet,Furnished,Walk In Closet,Service Charge Included","Riverside, Kes 10,000 Per Day Air BnB, Westlands","Bus Stop,Shopping Centre,Golf Course,Hospital,Scenic View,School",220000,Furnished 1 Bed Apartment with En Suite at Riverside
2,2,"Gym,Lift/Elevator,Kids Play Area,Parking,Staff Quarters,Swimming Pool,Wheelchair Access,Garden,Borehole,Electric Fence,CCTV,BBQ,Balcony,Pet Friendly","Alarm,Backup Generator,En Suite,Fibre Internet,Furnished,Walk In Closet,Service Charge Included","Riverside, Kes 13,000 Per Day Air BnB, Westlands","Bus Stop,Shopping Centre,Golf Course,Hospital,Scenic View,School",270000,Furnished 2 Bed Apartment with En Suite at Riverside
3,3,"Lift/Elevator,Parking,CCTV,Electric Fence,Swimming Pool,Borehole,Wheelchair Access,Pet Friendly,Gym","Backup Generator,Walk In Closet,Service Charge Included,En Suite","Muringa Road, Kilimani","Scenic View,Shopping Centre",150000,3 Bed Apartment with En Suite at Muringa Road
2,2,"Balcony,BBQ,CCTV,Electric Fence,Borehole,Garden,Wheelchair Access,Swimming Pool,Staff Quarters,Parking,Lift/Elevator,Gym","Alarm,Backup Generator,En Suite,Fibre Internet,Furnished,Walk In Closet,Service Charge Included","Riverside, Westlands","Bus Stop,Shopping Centre,Golf Course,Hospital,Scenic View,School",200000,Furnished 2 Bed Apartment with En Suite at Riverside
2,2,"Balcony,Gym,Lift/Elevator,Parking,CCTV,Electric Fence,Swimming Pool,Wheelchair Access,Borehole,Pet Friendly,Kids Play Area","En Suite,Backup Generator,Walk In Closet,Service Charge Included,Fibre Internet","two rivers, Gigiri, Westlands","Scenic View,Shopping Centre",200000,2 Bed Apartment with En Suite at Two Rivers
3,3,"Electric Fence,Swimming Pool,Parking,Lift/Elevator,Balcony,CCTV,Borehole,Garden,Gym,Wheelchair Access,Kids Play Area,Pet Friendly","Furnished,En Suite,Alarm,Fibre Internet,Serviced,Service Charge Included,Backup Generator,Walk In Closet","Spring Valley, Westlands","Hospital,Shopping Centre,School,Bus Stop,Scenic View",350000,Serviced 3 Bed Apartment with En Suite in Spring Valley
4,4,"Balcony,BBQ,CCTV,Electric Fence,Borehole,Garden,Gym,Lift/Elevator,Parking,Staff Quarters,Swimming Pool,Wheelchair Access,Gated Community,Kids Play Area,Pet Friendly","En Suite,Fibre Internet,Service Charge Included,Walk In Closet,Backup Generator","Brookside, Westlands","Bus Stop,Hospital,Scenic View,School,Shopping Centre",175000,4 Bed Apartment with En Suite at Brookside
6,5,"Balcony,CCTV,Electric Fence,Borehole,Garden,Lift/Elevator,Parking,Staff Quarters,Swimming Pool,Kids Play Area,Pet Friendly","Backup Generator,En Suite,Service Charge Included,Walk In Closet","General mathenge drive westland, Westlands Area, Westlands","Golf Course,Scenic View,School,Shopping Centre",350000,5 Bed Apartment with En Suite in Westlands Area
2,2,"Parking,Garden,Pet Friendly,Kids Play Area,Gated Community","En Suite,Service Charge Included,Fibre Internet",Kileleshwa,"Bus Stop,Hospital,Scenic View,School,Shopping Centre",165000,2 Bed Apartment with En Suite in Kileleshwa
4,4,"Balcony,BBQ,CCTV,Electric Fence,Borehole,Garden,Gym,Lift/Elevator,Parking,Staff Quarters,Swimming Pool,Wheelchair Access,Gated Community,Kids Play Area,Pet Friendly","En Suite,Fibre Internet,Service Charge Included,Walk In Closet","Brookside, Westlands","Bus Stop,Hospital,Scenic View,School,Shopping Centre",145000,4 Bed Apartment with En Suite at Brookside
2,2,"Balcony,CCTV,Garden,Kids Play Area,Parking","Serviced,En Suite,Fibre Internet",Ngong,"Bus Stop,Shopping Centre,Hospital,Scenic View,School",26400,Serviced 2 Bed Apartment with En Suite in Ngong
4,4,"Borehole,Garden,Wheelchair Access,Swimming Pool,Electric Fence,CCTV,Parking,Kids Play Area,Lift/Elevator,Balcony,Gym","Alarm,Backup Generator,Walk In Closet,En Suite,Fibre Internet","General Mathenge, Westlands","School,Scenic View,Hospital,Golf Course,Bus Stop",44000000,4 Bed Apartment with En Suite in General Mathenge
2,2,"Balcony,BBQ,CCTV,Electric Fence,Borehole,Garden,Parking,Kids Play Area","Alarm,Backup Generator,En Suite,Fibre Internet,Furnished,Serviced,Service Charge Included,Walk In Closet","Gigiri Area, Runda, Westlands","Bus Stop,Shopping Centre,Golf Course,Hospital,Scenic View,School",140000,Serviced 2 Bed Apartment with En Suite at Gigiri Area
2,2,"Balcony,BBQ,CCTV,Electric Fence,Borehole,Garden,Parking,Kids Play Area","Alarm,Backup Generator,En Suite,Fibre Internet,Furnished,Walk In Closet,Service Charge Included,Serviced","Runda Estate, Gigiri, Westlands","Bus Stop,Shopping Centre,Golf Course,Hospital,Scenic View,School",140000,Serviced 2 Bed Apartment with En Suite at Runda Estate
3,3,"CCTV,Balcony,Gym,Kids Play Area,Pet Friendly,Swimming Pool,Staff Quarters,Electric Fence,Lift/Elevator,Parking,Garden,Wheelchair Access","En Suite,Fibre Internet,Furnished,Backup Generator,Serviced,Service Charge Included,Walk In Closet","Riverside, Westlands","Scenic View,School,Shopping Centre,Hospital,Bus Stop",170000,Serviced 3 Bed Apartment with En Suite in Riverside
3,3,"Borehole,Electric Fence,CCTV,BBQ,Balcony,Gym,Gated Community,Kids Play Area,Lift/Elevator,Parking,Pet Friendly,Staff Quarters,Swimming Pool,Garden,Wheelchair Access","Alarm,Serviced,Service Charge Included,Aircon,Walk In Closet,Backup Generator,En Suite,Fibre Internet,Furnished",Kilimani,"Golf Course,Bus Stop,Shopping Centre,Hospital,Scenic View,School",280000,Serviced 3 Bed Apartment with En Suite in Kilimani
5,4,"Balcony,CCTV,Electric Fence,Borehole,Staff Quarters,Lift/Elevator,Gym,Parking","Backup Generator,En Suite,Fibre Internet,Walk In Closet","Donyo Sabuk Avenue, Westlands Area, Westlands","Bus Stop,Shopping Centre,Hospital,School",190000,4 Bed Apartment with En Suite at Donyo Sabuk Avenue
2,2,"Balcony,Gym,Lift/Elevator,Kids Play Area,Pet Friendly,Parking,Electric Fence,CCTV,Staff Quarters,Swimming Pool,Wheelchair Access,Garden","Backup Generator,Service Charge Included,Serviced,En Suite,Fibre Internet,Furnished,Walk In Closet",Kilimani,"Shopping Centre,Scenic View,School,Bus Stop,Hospital",220000,Serviced 2 Bed Apartment with En Suite in Kilimani
3,3,"Balcony,Gated Community,Kids Play Area,Lift/Elevator,CCTV,Parking,BBQ,Electric Fence,Staff Quarters,Swimming Pool,Borehole,Garden,Wheelchair Access,Pet Friendly","Alarm,Walk In Closet,Backup Generator,Fibre Internet,En Suite","Riverside, Westlands","Bus Stop,Shopping Centre,Hospital,School,Scenic View",230000,3 Bed Apartment with En Suite in Riverside
5,4,"Balcony,CCTV,Electric Fence,Borehole,Staff Quarters,Parking,Lift/Elevator,Gym","Backup Generator,Fibre Internet,En Suite,Walk In Closet,Service Charge Included,Furnished","Donyo Sabuk Avenue, Westlands Area, Westlands","Bus Stop,School,Hospital,Shopping Centre",250000,Furnished 4 Bed Apartment with En Suite at Donyo Sabuk Avenue
5,4,"Balcony,CCTV,Electric Fence,Borehole,Gym,Lift/Elevator,Pet Friendly,Parking","Backup Generator,En Suite","First Parklands Avenue, Parklands, Westlands","Bus Stop,Hospital,School,Shopping Centre",150000,4 Bed Apartment with En Suite at First Parklands Avenue
2,2,"Gym,Balcony,Lift/Elevator,Kids Play Area,Pet Friendly,Parking,CCTV,Electric Fence,Staff Quarters,Swimming Pool,Wheelchair Access,Garden","Backup Generator,Service Charge Included,Serviced,En Suite,Fibre Internet,Furnished","Westlands Area, Westlands","Shopping Centre,Bus Stop,Scenic View,School",200000,Serviced 2 Bed Apartment with En Suite in Westlands Area
2,2,"Balcony,Gym,Gated Community,Kids Play Area,Lift/Elevator,BBQ,CCTV,Parking,Pet Friendly,Electric Fence,Borehole,Swimming Pool,Wheelchair Access,Garden","Aircon,Alarm,Backup Generator,En Suite,Fibre Internet,Furnished,Walk In Closet","Westlands, Westlands Area","Hospital,Scenic View,School,Golf Course,Bus Stop,Shopping Centre",230000,Furnished 2 Bed Apartment with En Suite at Westlands
2,2,"Balcony,Gym,Gated Community,Kids Play Area,BBQ,Lift/Elevator,CCTV,Parking,Electric Fence,Borehole,Garden,Wheelchair Access","Service Charge Included,Alarm,Backup Generator,Walk In Closet,Fibre Internet,Furnished,En Suite","Laikipia rd, Kileleshwa","Shopping Centre,Bus Stop,Golf Course,Hospital,Scenic View,School",120000,Furnished 2 Bed Apartment with En Suite at Laikipia Rd
3,3,"Garden,Wheelchair Access,Swimming Pool,Borehole,Electric Fence,Pet Friendly,Parking,CCTV,BBQ,Lift/Elevator,Kids Play Area,Gated Community,Gym,Balcony","Aircon,Alarm,Backup Generator,En Suite,Fibre Internet,Walk In Closet,Furnished","Westlands, Westlands Area","Bus Stop,Shopping Centre,Golf Course,Hospital,Scenic View,School",160000,Furnished 3 Bed Apartment with En Suite at Westlands
1,1,"Balcony,Gym,Gated Community,Kids Play Area,Lift/Elevator,BBQ,CCTV,Parking,Pet Friendly,Electric Fence,Borehole,Swimming Pool,Wheelchair Access,Garden","Aircon,Alarm,Backup Generator,En Suite,Fibre Internet,Furnished,Walk In Closet","General mathenge road, Westlands Area, Westlands","School,Scenic View,Hospital,Golf Course,Bus Stop,Shopping Centre",120000,Furnished 1 Bed Apartment with En Suite at General Mathenge Road
3,3,"Balcony,Gym,Gated Community,Kids Play Area,Lift/Elevator,BBQ,CCTV,Parking,Pet Friendly,Electric Fence,Borehole,Swimming Pool,Wheelchair Access,Garden","Aircon,Alarm,Backup Generator,En Suite,Fibre Internet,Walk In Closet","General mathenge road, Westlands Area, Westlands","Bus Stop,Shopping Centre,Golf Course,Hospital,Scenic View,School",150000,3 Bed Apartment with En Suite at General Mathenge Road
2,2,"Balcony,Gym,Lift/Elevator,Parking,CCTV,Swimming Pool","Alarm,Backup Generator,En Suite,Fibre Internet,Furnished",Upper Hill,"Bus Stop,Shopping Centre,Hospital,School",200000,Furnished 2 Bed Apartment with En Suite in Upper Hill
3,2,"Balcony,Gym,Lift/Elevator,Parking,Staff Quarters,Electric Fence,CCTV,Swimming Pool,Garden","Backup Generator,En Suite,Fibre Internet,Service Charge Included",Kileleshwa,"Golf Course,Shopping Centre,Scenic View,School",170000,2 Bed Apartment with En Suite in Kileleshwa
1,1,"Balcony,BBQ,CCTV,Electric Fence,Borehole,Lift/Elevator,Parking,Swimming Pool,Wheelchair Access,Gated Community,Kids Play Area,Pet Friendly","Aircon,Fibre Internet,Service Charge Included","Nyali Area, Nyali","Shopping Centre,Sea View,School,Scenic View,Hospital,Golf Course,Bus Stop",75000,1 Bed Apartment with Swimming Pool in Nyali Area
3,2,"Balcony,Gym,Lift/Elevator,Parking,Staff Quarters,Swimming Pool,Garden,Borehole,Electric Fence,CCTV,BBQ,Gated Community,Kids Play Area,Pet Friendly,Wheelchair Access","Backup Generator,Service Charge Included,Alarm,En Suite,Furnished,Walk In Closet,Fibre Internet","Nyeri road, Kileleshwa","Bus Stop,Shopping Centre,Hospital,Scenic View,School",300000,Furnished 2 Bed Apartment with En Suite at Nyeri Road
4,4,"Balcony,Parking,Garden,Swimming Pool",En Suite,"Westlands Area, Westlands",,420264,4 Bed Apartment with En Suite in Westlands Area
2,2,"Balcony,Gym,Lift/Elevator,Parking,CCTV,Swimming Pool","Alarm,Backup Generator,En Suite,Fibre Internet,Furnished",Upper Hill,"Bus Stop,Shopping Centre,Hospital,School",200000,Furnished 2 Bed Apartment with En Suite in Upper Hill
3,3,"Balcony,Gym,Lift/Elevator,Parking,CCTV,Swimming Pool","Alarm,Backup Generator,En Suite,Fibre Internet",Kileleshwa,"Bus Stop,Shopping Centre,Hospital,School",250000,3 Bed Apartment with En Suite in Kileleshwa
4,3,"Balcony,Parking,Garden",En Suite,"Thome, Roysambu",,100000,3 Bed Apartment with En Suite in Thome
2,2,"Balcony,Gym,BBQ,Lift/Elevator,CCTV,Parking,Electric Fence,Staff Quarters,Borehole,Swimming Pool,Garden,Wheelchair Access,Gated Community,Kids Play Area,Pet Friendly","Alarm,Serviced,Service Charge Included,Backup Generator,Aircon,Walk In Closet,En Suite,Fibre Internet","WOOD AVENUE, STAROOT, Kilimani","Bus Stop,Shopping Centre,Golf Course,Hospital,Scenic View,School",100000,Serviced 2 Bed Apartment with En Suite at Wood Avenue
3,3,"Balcony,Gym,Lift/Elevator,Parking,CCTV,Swimming Pool","Alarm,En Suite,Backup Generator,Fibre Internet",Lavington,"Bus Stop,Shopping Centre,Hospital,School",280000,3 Bed Apartment with En Suite in Lavington
2,2,"BBQ,Balcony,CCTV,Parking,Electric Fence,Garden,Wheelchair Access,Kids Play Area,Pet Friendly","Aircon,Alarm,Service Charge Included,Walk In Closet,En Suite,Fibre Internet","kileleshwa, 0422n, Kileleshwa","Bus Stop,Shopping Centre,Hospital,Scenic View,School",80000,2 Bed Apartment with En Suite at Kileleshwa
4,3,,Furnished,"Westlands Area, Westlands",,220000,Furnished 3 Bed Apartment in Westlands Area
3,3,"Balcony,Kids Play Area,Lift/Elevator,BBQ,CCTV,Parking,Electric Fence,Staff Quarters,Borehole,Wheelchair Access,Garden,Pet Friendly,Gated Community","Alarm,Walk In Closet,Service Charge Included,Backup Generator,En Suite,Fibre Internet","Westlands Area, Westlands","Bus Stop,Shopping Centre,Hospital,Scenic View,School",200000,3 Bed Apartment with En Suite in Westlands Area
5,3,,Furnished,"Riverside, Westlands",,260000,Furnished 3 Bed Apartment in Riverside
1,1,CCTV,,Juja,,13000,1 Bed Apartment in Juja
1,1,"Balcony,Gym,Gated Community,Kids Play Area,Lift/Elevator,BBQ,CCTV,Parking,Pet Friendly,Staff Quarters,Electric Fence,Borehole,Swimming Pool,Wheelchair Access,Garden","Aircon,Serviced,Service Charge Included,Alarm,Backup Generator,Walk In Closet,En Suite,Fibre Internet,Furnished","raphta road, Westlands Area, Westlands","Bus Stop,Shopping Centre,Golf Course,Hospital,Scenic View,School",180000,Serviced 1 Bed Apartment with En Suite at Raphta Road
3,3,"Balcony,Gym,Lift/Elevator,Parking,CCTV,Swimming Pool","Alarm,Backup Generator,En Suite,Fibre Internet,Furnished",Lavington,"Bus Stop,Shopping Centre,Hospital,School",200000,Furnished 3 Bed Apartment with En Suite in Lavington
2,2,"Parking,Lift/Elevator,Balcony","Service Charge Included,En Suite,Fibre Internet","kilimani, Kilimani","Shopping Centre,Hospital,School",100000,2 Bed Apartment with En Suite at Kilimani
